* モンスター（以前の形式）  [#de0cefec]

- パラメータについては各モンスターの詳細ページを参照してださい。
- 関連ページ
-- [[モンスター図鑑/最大値]]
-- [[入手方法]]
-- [[覚醒スキル]]

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]]

#style(class=enableFilter){{
|~No|~名称			|~☆|~タイプ|~属|~CO|~スキル|~リーダースキル|~最大Lv|h
|1961|[[闇の猫龍・クロニャドラ>モンスター図鑑/1961]]	|5|ドラゴン|BGCOLOR(#bba6f1):闇|12|龍力解放の呪焔|キャットソウル・闇|99(400)|
|1962|[[アカデビニャン>モンスター図鑑/1962]]	|3|悪魔|BGCOLOR(#f1bba6):火|8|コロナブラスト|なし|30(150)|
|1963|[[アオデビニャン>モンスター図鑑/1963]]	|3|悪魔|BGCOLOR(#a6f1f1):水|8|セレスティアルサイン|なし|30(150)|
|1964|[[ミドリデビニャン>モンスター図鑑/1964]]	|3|悪魔|BGCOLOR(#bbf1a6):木|8|フォレストサイン|なし|30(150)|
|1965|[[シロデビニャン>モンスター図鑑/1965]]	|3|悪魔|BGCOLOR(#f1f1a6):光|8|ヘブンスプラッシュ|なし|30(150)|
|1966|[[クロデビニャン>モンスター図鑑/1966]]	|3|悪魔|BGCOLOR(#bba6f1):闇|8|ダークテラーミスト|なし|30(150)|
|1967|[[聖龍王サイガ アナザー>モンスター図鑑/1967]]	|5|ドラゴン|BGCOLOR(#bbf1a6):木|10|神羅万象|七支刀|50(400)|
|1968|[[光龍王サイガ アナザー>モンスター図鑑/1968]]	|6|ドラゴン|BGCOLOR(#bbf1a6):木光|15|神羅万象|七支刀の極意|99(400)|
|1969|[[神羅聖龍神サイガ アナザー>モンスター図鑑/1969]]	|7|ドラゴン/神|BGCOLOR(#bbf1a6):木光|25|神羅万象|七支刀の極意|99(400)|
|1970|[[魔戦姫アスモディエス アナザー>モンスター図鑑/1970]]	|5|悪魔|BGCOLOR(#bba6f1):闇|10|純血の柱駒|月禍氷刃|50(400)|
|1971|[[幻魔王アスモ・デウス アナザー>モンスター図鑑/1971]]	|6|悪魔/回復|BGCOLOR(#bba6f1):闇木|20|純血の柱駒|狂禍水月|99(400)|
|1972|[[炎鎚のキリコ アナザー>モンスター図鑑/1972]]	|5|回復|BGCOLOR(#f1bba6):火|10|夢想火炎撃|火炎操作|50(400)|
|1973|[[光翼聖天キリコ アナザー>モンスター図鑑/1973]]	|6|回復/攻撃|BGCOLOR(#f1bba6):火光|20|夢想火炎撃|炎鎚タヂカラノオ＜朱雀＞|99(400)|
|1974|[[神羅魔導神メビウス>モンスター図鑑/1974]]	|4|悪魔/神|BGCOLOR(#bba6f1):闇光|12|超神羅・Ａ・ロード・シン|全知全能|99(400)|
|1975|[[神羅聖魔神アーク>モンスター図鑑/1975]]	|4|バランス/神|BGCOLOR(#bba6f1):闇木|12|超神羅・聖魔神滅覇|魔剣グラム・アルマデル|99(350)|
|1976|[[神羅光龍神リュウガ>モンスター図鑑/1976]]	|4|ドラゴン/神|BGCOLOR(#f1f1a6):光光|12|超神羅・光龍神滅覇|真・光龍七支刀「黄昏」|99(350)|
|1977|[[神羅黄金神マキシウス>モンスター図鑑/1977]]	|4|回復/神|BGCOLOR(#f1f1a6):光水|12|超神羅・鬼吼神滅覇|如意金箍棒|99(350)|
|1978|[[神羅終極神カイ>モンスター図鑑/1978]]	|4|悪魔/神|BGCOLOR(#bba6f1):闇光|12|超神羅・終極神滅覇|紲晶石|99(350)|
|1979|[[神羅魂獣神サイ>モンスター図鑑/1979]]	|4|ドラゴン/神|BGCOLOR(#f1bba6):火闇|12|超神羅・叢雲神滅覇|七魂剣スサノオ七玉形態|99(350)|
|1980|[[神羅太陽神アポロ>モンスター図鑑/1980]]	|4|攻撃/神|BGCOLOR(#f1bba6):火水|12|超神羅・灼炎神滅覇|光神槍ゲイ・ボルグ|99(350)|
|1981|[[神羅聖龍神サイガ>モンスター図鑑/1981]]	|4|ドラゴン/神|BGCOLOR(#bbf1a6):木光|12|超神羅・聖龍神滅覇|真・聖龍七支刀「蒼穹」|99(350)|
|1982|[[真城火牙刀>モンスター図鑑/1982]]	|4|攻撃|BGCOLOR(#f1bba6):火|10|二天双極・鬼炎斬|烈火の武者|50(400)|
|1983|[[烈火の火牙刀>モンスター図鑑/1983]]	|5|攻撃|BGCOLOR(#f1bba6):火火|20|二天双極・鬼炎斬|武神四天王|99(400)|
|1984|[[水晶天子ヒカリ・天地>モンスター図鑑/1984]]	|4|回復|BGCOLOR(#f1f1a6):光|10|光輝・天照輪|乱世を憂う少女|50(400)|
|1985|[[水晶天子ヒカリ・一鬼>モンスター図鑑/1985]]	|5|回復|BGCOLOR(#f1f1a6):光光|20|光輝・天照輪|新世界の神子|99(400)|
|1986|[[フロギスト>モンスター図鑑/1986]]	|3|バランス|BGCOLOR(#f1bba6):火|5|なし|フレイム・ソウル|25(150)|
|1987|[[ベム・ギスト>モンスター図鑑/1987]]	|4|バランス|BGCOLOR(#f1bba6):火|10|ダブル防御態勢・火|渦巻きファイヤー|70(300)|
|1988|[[雪獣イエイエ>モンスター図鑑/1988]]	|3|体力|BGCOLOR(#a6f1f1):水|5|なし|雪玉爆撃|25(150)|
|1989|[[ゴン・イエイエ>モンスター図鑑/1989]]	|4|体力|BGCOLOR(#a6f1f1):水|10|ダブル防御態勢・水|コゴ・エール|70(300)|
|1990|[[ガードナー・ポーチカ>モンスター図鑑/1990]]	|3|回復|BGCOLOR(#bbf1a6):木|5|なし|フラワー・シャワー|25(150)|
|1991|[[ルル・ポーチカ>モンスター図鑑/1991]]	|4|回復|BGCOLOR(#bbf1a6):木|10|ダブル防御態勢・木|フラワー・Ｅ・シャワー|70(300)|
|1992|[[ラード>モンスター図鑑/1992]]	|3|悪魔|BGCOLOR(#bba6f1):闇|5|なし|オイルパニック|25(150)|
|1993|[[ヘル・ラード>モンスター図鑑/1993]]	|4|悪魔|BGCOLOR(#bba6f1):闇|10|ダブル防御態勢・闇|ブーブー・ボンバー|70(300)|
|1994|[[アスモディエス アナザー カード>モンスター図鑑/1994]]	|4|強化用|BGCOLOR(#bba6f1):闇|1|純血の柱駒|なし|1|
|1995|[[炎鎚のキリコ アナザー カード>モンスター図鑑/1995]]	|4|強化用|BGCOLOR(#f1bba6):火|1|夢想火炎撃|なし|1|
|1996|[[神羅魔導神メビウス カード>モンスター図鑑/1996]]	|4|強化用|BGCOLOR(#bba6f1):闇光|1|超神羅・Ａ・ロード・シン|なし|1|
|1997|[[神羅聖魔神アーク カード>モンスター図鑑/1997]]	|4|強化用|BGCOLOR(#bba6f1):闇木|1|超神羅・聖魔神滅覇|なし|1|
|1998|[[神羅光龍神リュウガ カード>モンスター図鑑/1998]]	|4|強化用|BGCOLOR(#f1f1a6):光光|1|超神羅・光龍神滅覇|なし|1|
|1999|[[神羅黄金神マキシウス カード>モンスター図鑑/1999]]	|4|強化用|BGCOLOR(#f1f1a6):光水|1|超神羅・鬼吼神滅覇|なし|1|
|2000|[[神羅終極神カイ カード>モンスター図鑑/2000]]	|4|強化用|BGCOLOR(#bba6f1):闇光|1|超神羅・終極神滅覇|なし|1|
|2001&aname(no2001);|[[神羅魂獣神サイ カード>モンスター図鑑/2001]]	|4|強化用|BGCOLOR(#f1bba6):火闇|1|超神羅・叢雲神滅覇|なし|1|
|2002|[[神羅太陽神アポロ カード>モンスター図鑑/2002]]	|4|強化用|BGCOLOR(#f1bba6):火水|1|超神羅・灼炎神滅覇|なし|1|
|2003|[[神羅聖龍神サイガ カード>モンスター図鑑/2003]]	|4|強化用|BGCOLOR(#bbf1a6):木光|1|超神羅・聖龍神滅覇|なし|1|
|2004|[[ウエハーマンパパ>モンスター図鑑/2004]]	|4|強化用|BGCOLOR(#f1f1a6):光|1|ダブル防御態勢・光|なし|1|
|2005|[[世界一強いアメ玉>モンスター図鑑/2005]]	|4|強化用|BGCOLOR(#bba6f1):闇|1|超ベジットソード|なし|1|
|2006|[[天下御免の大泥棒・石川五右衛門>モンスター図鑑/2006]]	|8|体力/ドラゴン|BGCOLOR(#f1bba6):火光|55|真・天上大花火の術|絶景かな、絶景かな！|99(400)|
|2007|[[スフィンクス>モンスター図鑑/2007]]	|5|悪魔|BGCOLOR(#f1bba6):火|30|ミスティックレーザー|ファラオの眼光|50(400)|
|2008|[[覚醒スフィンクス>モンスター図鑑/2008]]	|6|悪魔/体力|BGCOLOR(#f1bba6):火光|40|ミスティックレーザー|ファラオの眼光|99(400)|
|2009|[[覚醒ホルス>モンスター図鑑/2009]]	|7|悪魔/神|BGCOLOR(#f1bba6):火闇|35|リバーサルフレイム|炎月煌命撃|99(400)|
|2010|[[覚醒イシス>モンスター図鑑/2010]]	|7|悪魔/神|BGCOLOR(#a6f1f1):水木|35|クイックガード|ナイルの深淵|99(400)|
|2011|[[覚醒バステト>モンスター図鑑/2011]]	|7|悪魔/バランス|BGCOLOR(#bbf1a6):木火|35|ワイルドキャッツ|キャットフィーバー|99(400)|
|2012|[[覚醒ラー>モンスター図鑑/2012]]	|7|悪魔/神|BGCOLOR(#f1f1a6):光火|35|サンバーストナックル|太陽の血潮|99(400)|
|2013|[[覚醒アヌビス>モンスター図鑑/2013]]	|7|悪魔/神|BGCOLOR(#bba6f1):闇火|35|ネクロバイト|冥狼の忠告|99(400)|
|2014|[[生徒会長・ルシファー>モンスター図鑑/2014]]	|7|神/攻撃|BGCOLOR(#f1f1a6):光闇|40|明けの明星|この私についてこないか|99(400)|
|2015|[[風紀委員長・アテナ>モンスター図鑑/2015]]	|7|神/攻撃|BGCOLOR(#bbf1a6):木光|50|アイギスの煌き|悪い事はゆるしません！|99(500)|
|2016|[[学級委員長・アテナ>モンスター図鑑/2016]]	|7|神/回復|BGCOLOR(#bbf1a6):木光|50|アイギスの煌き|悪い事はゆるしません！|99(500)|
|2017|[[特待生・イシス>モンスター図鑑/2017]]	|7|攻撃/回復|BGCOLOR(#a6f1f1):水闇|35|クイックヒール|一緒にがんばろうね|99(400)|
|2018|[[↑↑先輩・ヘラ・ウルズ>モンスター図鑑/2018]]	|6|悪魔/神|BGCOLOR(#f1bba6):火闇|50|ウルズ↑↑フィーバー☆|楽しいコト、しようよっ♪|99(500)|
|2019|[[剛腕番長・ギガンテス>モンスター図鑑/2019]]	|6|体力|BGCOLOR(#f1bba6):火闇|35|攻撃態勢・火|根性たりねえぞコラァ！|99(400)|
|2020|[[紅焔の舞巫女・ミニちよめ>モンスター図鑑/2020]]	|6|バランス|BGCOLOR(#f1bba6):火火|27|暁光変化の術・火|みこまいのひでん|99(400)|
|2021|[[幻神・ミニおーでぃん>モンスター図鑑/2021]]	|6|神|BGCOLOR(#f1bba6):火火|30|滅槍グングニール|そんぐ・おぶ・ばるはら|99(400)|
|2022|[[ミニあまてらすおおかみ>モンスター図鑑/2022]]	|4|神|BGCOLOR(#f1f1a6):光光|12|完治の光|かみのきせき|70(400)|
|2023|[[聖海神・ミニいしす>モンスター図鑑/2023]]	|4|神|BGCOLOR(#a6f1f1):水水|12|クイックヒール|ないるのめぐみ|70(400)|
|2024|[[ミニやまとたける>モンスター図鑑/2024]]	|4|神|BGCOLOR(#f1bba6):火火|12|草薙の剣|しんおうのけつぞく|70(400)|
|2025|[[ミニあんどろめだ>モンスター図鑑/2025]]	|4|神|BGCOLOR(#a6f1f1):水水|12|蒼聖の鎖|おうじょのしゅくせい|70(400)|
|2026|[[ミニぺるせうす>モンスター図鑑/2026]]	|4|神|BGCOLOR(#bbf1a6):木木|12|碧星の剛剣|じんぎのしゅご|70(400)|
|2027|[[ミニそんごくう>モンスター図鑑/2027]]	|4|神|BGCOLOR(#f1f1a6):光光|12|如意棒|せんたんのかつりょく|70(400)|
|2028|[[ミニぱんどら>モンスター図鑑/2028]]	|4|神|BGCOLOR(#bba6f1):闇闇|12|秘密の箱|さいやくのとうらい|70(400)|
|2029|[[クラウド>モンスター図鑑/2029]]	|6|攻撃|BGCOLOR(#f1f1a6):光|12|興味ないね|ブレイバー|50(400)|
|2030|[[クラウド＆ハーディ＝デイトナ>モンスター図鑑/2030]]	|7|攻撃/マシン|BGCOLOR(#f1f1a6):光光|22|興味ないね|クライムハザード|99(400)|
|2031|[[セフィロス>モンスター図鑑/2031]]	|6|攻撃|BGCOLOR(#bba6f1):闇|12|オレは選ばれし者|居合い斬り|50(400)|
|2032|[[堕ちた英雄・セフィロス>モンスター図鑑/2032]]	|7|攻撃/悪魔|BGCOLOR(#bba6f1):闇闇|22|オレは選ばれし者|八刀一閃|99(400)|
|2033|[[スコール>モンスター図鑑/2033]]	|5|攻撃|BGCOLOR(#f1bba6):火|12|俺のそばから離れるな|ラフディバイド|50(400)|
|2034|[[孤高の獅子・スコール>モンスター図鑑/2034]]	|6|攻撃|BGCOLOR(#f1bba6):火光|22|俺のそばから離れるな|エンドオブハート|99(400)|
|2035|[[リノア>モンスター図鑑/2035]]	|5|回復|BGCOLOR(#a6f1f1):水|12|またまた、おハロー|アンジェロ|50(400)|
|2036|[[魔女の継承者・リノア>モンスター図鑑/2036]]	|6|回復/悪魔|BGCOLOR(#a6f1f1):水水|22|またまた、おハロー|ヴァリー|99(400)|
|2037|[[ジタン>モンスター図鑑/2037]]	|5|攻撃|BGCOLOR(#bbf1a6):木|12|そうはさせないぜ！|盗賊のあかし|50(400)|
|2038|[[トランス・ジタン>モンスター図鑑/2038]]	|6|攻撃|BGCOLOR(#bbf1a6):木光|22|そうはさせないぜ！|シフトブレイク|99(400)|
|2039|[[ビビ>モンスター図鑑/2039]]	|4|攻撃|BGCOLOR(#bba6f1):闇|10|来ないでーっ！！|魔法返し|50(400)|
|2040|[[トランス・ビビ>モンスター図鑑/2040]]	|5|攻撃|BGCOLOR(#bba6f1):闇火|20|来ないでーっ！！|リフレク倍返し|99(400)|
|2041|[[ティーダ>モンスター図鑑/2041]]	|5|体力|BGCOLOR(#a6f1f1):水|12|これがオレの物語だ！|スパイラルカット|50(400)|
|2042|[[祈り子の夢・ティーダ>モンスター図鑑/2042]]	|6|体力|BGCOLOR(#a6f1f1):水光|22|これがオレの物語だ！|エナジーレイン|99(400)|
|2043|[[ユウナ>モンスター図鑑/2043]]	|6|回復|BGCOLOR(#f1f1a6):光|12|私、召喚士になれました|ヴァルファーレ召喚|50(400)|
|2044|[[決意の召喚士・ユウナ>モンスター図鑑/2044]]	|7|回復|BGCOLOR(#f1f1a6):光水|22|私、召喚士になれました|バハムート召喚|99(400)|
|2045|[[エース>モンスター図鑑/2045]]	|4|バランス|BGCOLOR(#f1bba6):火|10|我ら、来たれり|デッキオープン|50(400)|
|2046|[[アギト候補生・エース>モンスター図鑑/2046]]	|5|バランス|BGCOLOR(#f1bba6):火闇|20|我ら、来たれり|アタックデッキ|99(400)|
|2047|[[エモ>モンスター図鑑/2047]]	|4|回復|BGCOLOR(#bbf1a6):木|10|私も変えたい、あの未来を|迷える子羊|50(400)|
|2048|[[時空ノ水晶・エモ＆タツノコ>モンスター図鑑/2048]]	|5|回復/神|BGCOLOR(#bbf1a6):木闇|20|私も変えたい、あの未来を|ラジカルオレンジ|99(400)|
|2049|[[ウォル>モンスター図鑑/2049]]	|4|攻撃|BGCOLOR(#f1f1a6):光|10|格の違いを見せてやる|ラウンドスラッシュ|50(400)|
|2050|[[黎明のナイト・ウォル>モンスター図鑑/2050]]	|5|攻撃|BGCOLOR(#f1f1a6):光火|20|格の違いを見せてやる|レディアントソード|99(400)|
|2051|[[でぶチョコボ>モンスター図鑑/2051]]	|4|体力|BGCOLOR(#f1f1a6):光|5|ギザールの野菜|なし|35(150)|
|2052|[[カオス>モンスター図鑑/2052]]	|5|悪魔|BGCOLOR(#bba6f1):闇光|12|絶無の魂|永久に生き続けるのだ！！|99(300)|
|2053|[[パラメキア皇帝>モンスター図鑑/2053]]	|5|バランス/悪魔|BGCOLOR(#a6f1f1):水闇|12|隕石|私をたおすことはできん！|99(300)|
|2054|[[暗闇の雲>モンスター図鑑/2054]]	|5|悪魔|BGCOLOR(#bbf1a6):木闇|12|波動砲|無の世界にかえてやる！|99(300)|
|2055|[[ゼロムス>モンスター図鑑/2055]]	|5|悪魔/体力|BGCOLOR(#bba6f1):闇火|12|ビッグバーン|ガ…グ…グ…ゴ…|99(300)|
|2056|[[ネオエクスデス>モンスター図鑑/2056]]	|5|バランス/悪魔|BGCOLOR(#f1f1a6):光光|12|グランドクロス|私も消えよう永遠に！！|99(300)|
|2057|[[ギルガメッシュ>モンスター図鑑/2057]]	|6|攻撃/体力|BGCOLOR(#f1bba6):火水|12|おれのコレクション|じょうとうだぜ！|99(400)|
|2058|[[ケフカ>モンスター図鑑/2058]]	|5|悪魔|BGCOLOR(#bba6f1):闇|12|ハイパードライブ|ヒッヒッヒ…|50(400)|
|2059|[[妖星乱舞・ケフカ>モンスター図鑑/2059]]	|6|悪魔/神|BGCOLOR(#bba6f1):闇火|22|ハイパードライブ|このわたしが破壊する！！|99(400)|
|2060|[[クラウドのバスターソード>モンスター図鑑/2060]]	|5|強化用|BGCOLOR(#f1f1a6):光|1|興味ないね|なし|1|
|2061|[[セフィロスの正宗>モンスター図鑑/2061]]	|5|強化用|BGCOLOR(#bba6f1):闇|1|オレは選ばれし者|なし|1|
|2062|[[スコールのガンブレード>モンスター図鑑/2062]]	|5|強化用|BGCOLOR(#f1bba6):火|1|俺のそばから離れるな|なし|1|
|2063|[[リノアの円月輪>モンスター図鑑/2063]]	|5|強化用|BGCOLOR(#a6f1f1):水|1|またまた、おハロー|なし|1|
|2064|[[ジタンのメイジマッシャー>モンスター図鑑/2064]]	|5|強化用|BGCOLOR(#bbf1a6):木|1|そうはさせないぜ！|なし|1|
|2065|[[ティーダのフラタニティ>モンスター図鑑/2065]]	|5|強化用|BGCOLOR(#f1f1a6):光|1|これがオレの物語だ！|なし|1|
|2066|[[ユウナのロッド>モンスター図鑑/2066]]	|5|強化用|BGCOLOR(#a6f1f1):水|1|私、召喚士になれました|なし|1|
|2067|[[超絶キンメタたまドラ>モンスター図鑑/2067]]	|7|強化用|BGCOLOR(#bba6f1):闇|1|滅魔の息吹|なし|1|
|2068|[[アーミル>モンスター図鑑/2068]]	|5|悪魔|BGCOLOR(#bba6f1):闇木|30|スイーツパフューム|魅惑のソナタ|50(400)|
|2069|[[黒獣魔の子分・アーミル>モンスター図鑑/2069]]	|6|悪魔/回復|BGCOLOR(#bba6f1):闇木|40|スイーツパフューム|魅惑のソナタ|99(400)|
|2070|[[ティンニン＆メタトロン>モンスター図鑑/2070]]	|7|ドラゴン/回復|BGCOLOR(#f1f1a6):光光|35|ハイヒール|全力でいくの|99(400)|
|2071|[[ヨウたまドラ>モンスター図鑑/2071]]	|5|強化用|BGCOLOR(#a6f1f1):水|1|蒼覇王の援護|なし|1|
|2072|[[ティンニンたまドラ>モンスター図鑑/2072]]	|5|強化用|BGCOLOR(#f1f1a6):光|1|ハイヒール|なし|1|
|2073|[[覚醒レイラン>モンスター図鑑/2073]]	|7|体力/攻撃|BGCOLOR(#f1bba6):火火|40|朱雀七星陣|三護・緋天の舞|99(400)|
|2074|[[覚醒カリン>モンスター図鑑/2074]]	|7|ドラゴン/攻撃|BGCOLOR(#a6f1f1):水水|40|青龍七星陣|三護・昇龍の舞|99(400)|
|2075|[[覚醒メイメイ>モンスター図鑑/2075]]	|7|体力/攻撃|BGCOLOR(#bbf1a6):木木|40|玄武七星陣|三護・霊亀の舞|99(400)|
|2076|[[覚醒ハク>モンスター図鑑/2076]]	|7|神/回復|BGCOLOR(#bba6f1):闇水|40|白虎七星陣|三護・虎咆の舞|99(400)|
|2077|[[翠輝星の麒麟・サクヤ>モンスター図鑑/2077]]	|8|神/体力/ドラゴン|BGCOLOR(#f1f1a6):光木|45|四神乱舞|極光・四源の舞|99(400)|
|2078|[[劫火の威女神・カーリー>モンスター図鑑/2078]]	|8|神/ドラゴン|BGCOLOR(#bba6f1):闇火|70|オールドロップチェンジ|黒天舞踏|99(500)|
|2079|[[日輪の勇将神・クリシュナ>モンスター図鑑/2079]]	|7|神/バランス|BGCOLOR(#f1bba6):火火|35|火の目覚め|灼陽のチャクラ|99(400)|
|2080|[[知徳の麗女神・サラスヴァティ>モンスター図鑑/2080]]	|7|神/回復|BGCOLOR(#a6f1f1):水水|35|水の目覚め|聖湖の孔雀|99(400)|
|2081|[[秩序の創界神・ヴィシュヌ>モンスター図鑑/2081]]	|7|神/攻撃|BGCOLOR(#bbf1a6):木木|35|木の目覚め|創界の錫杖|99(400)|
|2082|[[招財の学問神・ガネーシャ>モンスター図鑑/2082]]	|7|神/回復|BGCOLOR(#f1f1a6):光光|35|苦難打破の知恵|商売の学問|99(400)|
|2083|[[魔掌の討女神・ドゥルガー>モンスター図鑑/2083]]	|7|神/悪魔|BGCOLOR(#bba6f1):闇水|35|神器の一撃|四源の秘刃|99(400)|
|2084|[[きまぐれ召喚・でぶチョコボ>モンスター図鑑/2084]]	|5|体力|BGCOLOR(#f1f1a6):光光|10|ギザールの野菜|でぶチョコボの羽|99(400)|
|2085|[[キティズフェスタ★ジョーカー>モンスター図鑑/2085]]	|6|ドラゴン/悪魔|BGCOLOR(#bba6f1):闇闇|25|ラッキー？リボン|Enjoy! Fiesta☆|99(300)|
|2086|[[キティ＆ティラノス>モンスター図鑑/2086]]	|6|バランス/ドラゴン|BGCOLOR(#f1bba6):火火|30|リンゴパワー！|元気の活力|99(300)|
|2087|[[けろっぴ＆プレシオス>モンスター図鑑/2087]]	|6|体力/ドラゴン|BGCOLOR(#a6f1f1):水水|30|けろけろアターック！|勇気の活力|99(300)|
|2088|[[メロディ＆ブラキオス>モンスター図鑑/2088]]	|6|バランス/ドラゴン|BGCOLOR(#bbf1a6):木木|30|メロディウィンク♪|やさしさの活力|99(300)|
|2089|[[たまドラプリン☆アラモード>モンスター図鑑/2089]]	|7|体力|BGCOLOR(#f1f1a6):光光|30|ポムプリダンス☆|プリンのたまご|99(400)|
|2090|[[プリンセス・ヴァルキティハート>モンスター図鑑/2090]]	|7|回復|BGCOLOR(#f1f1a6):光光|30|プリンセススマイル|仲良しの輪|99(400)|
|2091|[[剛龍帝・リファイブ>モンスター図鑑/2091]]	|6|ドラゴン|BGCOLOR(#f1bba6):火|50|ブレイズチャージ|天焦の龍帝力|99(500)|
|2092|[[爆天の剛龍帝・リファイブ>モンスター図鑑/2092]]	|7|ドラゴン/神|BGCOLOR(#f1bba6):火光|80|ブレイズチャージ|天焦の龍帝力|99(500)|
|2093|[[フェニックスライダー>モンスター図鑑/2093]]	|5|攻撃|BGCOLOR(#f1bba6):火水|8|イモータルガード|蒼炎の天幻陣|50(150)|
|2094|[[フェニックスライダー・ヴァレン>モンスター図鑑/2094]]	|6|攻撃/回復|BGCOLOR(#f1bba6):火水|13|イモータルガード|蒼炎の天幻陣|99(300)|
|2095|[[クラーケンライダー>モンスター図鑑/2095]]	|5|攻撃|BGCOLOR(#a6f1f1):水光|8|ディープスパイラル|煌海の地幻陣|50(150)|
|2096|[[クラーケンライダー・ネル>モンスター図鑑/2096]]	|6|攻撃/悪魔|BGCOLOR(#a6f1f1):水光|13|ディープスパイラル|煌海の地幻陣|99(300)|
