* 進化合成 [#ze6474f1]

#style(class=panelNote){{
このページは編集者不足による更新停止中です。
//ちなみに編集は誰でも行うことが可能です･･･。
}}

- 一部モンスターはLv最大になると進化が可能になる
- 進化するためにはそれぞれ決められた素材モンスターが必要
-- 「爆炎龍ティラノス」に進化するのに必要なモンスターは「ティラノス」の欄を参照
-- 「なし」はこれ以上進化しないということ

//外部サイトのリンクは[[リンク]]へ

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]]

#style(class=enableFilter){{
|~No|~ベースモンスター		|~進化に必要なモンスター|~進化結果|
|2039|[[ビビ>モンスター図鑑/2039]]	|&mons151; &mons175; &mons250; &mons155; &mons160;|[[トランス・ビビ>モンスター図鑑/2040]]|
|2040|[[トランス・ビビ>モンスター図鑑/2040]]	|なし||
|2041|[[ティーダ>モンスター図鑑/2041]]	|&mons148; &mons321; &mons172; &mons249; &mons251;|[[祈り子の夢・ティーダ>モンスター図鑑/2042]]|
|2042|[[祈り子の夢・ティーダ>モンスター図鑑/2042]]	|なし||
|2043|[[ユウナ>モンスター図鑑/2043]]	|&mons150; &mons321; &mons174; &mons247; &mons251;|[[決意の召喚士・ユウナ>モンスター図鑑/2044]]|
|2044|[[決意の召喚士・ユウナ>モンスター図鑑/2044]]	|なし||
|2045|[[エース>モンスター図鑑/2045]]	|&mons147; &mons171; &mons246; &mons159; &mons160;|[[アギト候補生・エース>モンスター図鑑/2046]]|
|2046|[[アギト候補生・エース>モンスター図鑑/2046]]	|なし||
|2047|[[エモ>モンスター図鑑/2047]]	|&mons149; &mons173; &mons248; &mons159; &mons160;|[[時空ノ水晶・エモ＆タツノコ>モンスター図鑑/2048]]|
|2048|[[時空ノ水晶・エモ＆タツノコ>モンスター図鑑/2048]]	|なし||
|2049|[[ウォル>モンスター図鑑/2049]]	|&mons150; &mons174; &mons249; &mons155; &mons160;|[[黎明のナイト・ウォル>モンスター図鑑/2050]]|
|2050|[[黎明のナイト・ウォル>モンスター図鑑/2050]]	|なし||
|2051|[[でぶチョコボ>モンスター図鑑/2051]]	|&mons150; &mons227; &mons249; &mons249; &mons251;|[[きまぐれ召喚・でぶチョコボ>モンスター図鑑/2084]]|
|2052|[[カオス>モンスター図鑑/2052]]	|なし||
|2053|[[パラメキア皇帝>モンスター図鑑/2053]]	|なし||
|2054|[[暗闇の雲>モンスター図鑑/2054]]	|なし||
|2055|[[ゼロムス>モンスター図鑑/2055]]	|なし||
|2056|[[ネオエクスデス>モンスター図鑑/2056]]	|なし||
|2057|[[ギルガメッシュ>モンスター図鑑/2057]]	|なし||
|2058|[[ケフカ>モンスター図鑑/2058]]	|&mons151; &mons151; &mons321; &mons171; &mons251;|[[妖星乱舞・ケフカ>モンスター図鑑/2059]]|
|2059|[[妖星乱舞・ケフカ>モンスター図鑑/2059]]	|なし||
|2060|[[クラウドのバスターソード>モンスター図鑑/2060]]	|なし||
|2061|[[セフィロスの正宗>モンスター図鑑/2061]]	|なし||
|2062|[[スコールのガンブレード>モンスター図鑑/2062]]	|なし||
|2063|[[リノアの円月輪>モンスター図鑑/2063]]	|なし||
|2064|[[ジタンのメイジマッシャー>モンスター図鑑/2064]]	|なし||
|2065|[[ティーダのフラタニティ>モンスター図鑑/2065]]	|なし||
|2066|[[ユウナのロッド>モンスター図鑑/2066]]	|なし||
|2067|[[超絶キンメタたまドラ>モンスター図鑑/2067]]	|なし||
|2068|[[アーミル>モンスター図鑑/2068]]	|&mons149; &mons151; &mons248; &mons250; &mons251;|[[黒獣魔の子分・アーミル>モンスター図鑑/2069]]|
|2069|[[黒獣魔の子分・アーミル>モンスター図鑑/2069]]	|なし||
|2070|[[ティンニン＆メタトロン>モンスター図鑑/2070]]	|なし||
|2071|[[ヨウたまドラ>モンスター図鑑/2071]]	|なし||
|2072|[[ティンニンたまドラ>モンスター図鑑/2072]]	|なし||
|2073|[[覚醒レイラン>モンスター図鑑/2073]]	|なし||
|2074|[[覚醒カリン>モンスター図鑑/2074]]	|なし||
|2075|[[覚醒メイメイ>モンスター図鑑/2075]]	|なし||
|2076|[[覚醒ハク>モンスター図鑑/2076]]	|なし||
|2077|[[翠輝星の麒麟・サクヤ>モンスター図鑑/2077]]	|なし||
|2078|[[劫火の威女神・カーリー>モンスター図鑑/2078]]	|なし||
|2079|[[日輪の勇将神・クリシュナ>モンスター図鑑/2079]]	|なし||
|2080|[[知徳の麗女神・サラスヴァティ>モンスター図鑑/2080]]	|なし||
|2081|[[秩序の創界神・ヴィシュヌ>モンスター図鑑/2081]]	|なし||
|2082|[[招財の学問神・ガネーシャ>モンスター図鑑/2082]]	|なし||
|2083|[[魔掌の討女神・ドゥルガー>モンスター図鑑/2083]]	|なし||
|2084|[[きまぐれ召喚・でぶチョコボ>モンスター図鑑/2084]]	|なし||
|2085|[[キティズフェスタ★ジョーカー>モンスター図鑑/2085]]	|なし||
|2086|[[キティ＆ティラノス>モンスター図鑑/2086]]	|なし||
|2087|[[けろっぴ＆プレシオス>モンスター図鑑/2087]]	|なし||
|2088|[[メロディ＆ブラキオス>モンスター図鑑/2088]]	|なし||
|2089|[[たまドラプリン☆アラモード>モンスター図鑑/2089]]	|なし||
|2090|[[プリンセス・ヴァルキティハート>モンスター図鑑/2090]]	|なし||
|2091|[[剛龍帝・リファイブ>モンスター図鑑/2091]]	|[[究極進化]]||
|2092|[[爆天の剛龍帝・リファイブ>モンスター図鑑/2092]]	|なし||
|2093|[[フェニックスライダー>モンスター図鑑/2093]]	|&mons147; &mons166; &mons246; &mons247; &mons251;|[[フェニックスライダー・ヴァレン>モンスター図鑑/2094]]|
|2094|[[フェニックスライダー・ヴァレン>モンスター図鑑/2094]]	|なし||
|2095|[[クラーケンライダー>モンスター図鑑/2095]]	|&mons148; &mons167; &mons247; &mons249; &mons251;|[[クラーケンライダー・ネル>モンスター図鑑/2096]]|
|2096|[[クラーケンライダー・ネル>モンスター図鑑/2096]]	|なし||
|2097|[[グリフォンライダー>モンスター図鑑/2097]]	|&mons149; &mons168; &mons248; &mons250; &mons251;|[[グリフォンライダー・ギリアム>モンスター図鑑/2098]]|
|2098|[[グリフォンライダー・ギリアム>モンスター図鑑/2098]]	|なし||
|2099|[[ユニコーンライダー>モンスター図鑑/2099]]	|&mons150; &mons169; &mons249; &mons246; &mons251;|[[ユニコーンライダー・リーネ>モンスター図鑑/2100]]|
|2100|[[ユニコーンライダー・リーネ>モンスター図鑑/2100]]	|なし||
|2101&aname(no2101);|[[ケルベロスライダー>モンスター図鑑/2101]]	|&mons151; &mons170; &mons250; &mons248; &mons251;|[[ケルベロスライダー・ジゼ>モンスター図鑑/2102]]|
|2102|[[ケルベロスライダー・ジゼ>モンスター図鑑/2102]]	|なし||
|2103|[[周瑜>モンスター図鑑/2103]]	|&mons148; &mons149; &mons172; &mons247; &mons251;|[[秀麗の智将軍・周瑜>モンスター図鑑/2104]]|
|2104|[[秀麗の智将軍・周瑜>モンスター図鑑/2104]]	|なし||
|2105|[[富山の色彩・氷見うどん>モンスター図鑑/2105]]	|なし||
|2106|[[弓使い・ゼル>モンスター図鑑/2106]]	|&mons163; &mons163; &mons157;|[[ハンター・ゼル>モンスター図鑑/2107]]|
|2107|[[ハンター・ゼル>モンスター図鑑/2107]]	|なし||
|2108|[[エスパー・41号>モンスター図鑑/2108]]	|&mons164; &mons164; &mons158;|[[超人・41号>モンスター図鑑/2109]]|
|2109|[[超人・41号>モンスター図鑑/2109]]	|なし||
|2110|[[ドラキュラ・イベリ公>モンスター図鑑/2110]]	|&mons165; &mons165; &mons159;|[[ナイトスター・イベリ公>モンスター図鑑/2111]]|
|2111|[[ナイトスター・イベリ公>モンスター図鑑/2111]]	|なし||
|2112|[[キュウビ>モンスター図鑑/2112]]	|&mons147; &mons166; &mons155; &mons246; &mons160;|[[白炎狐・キュウビ>モンスター図鑑/2113]]|
|2113|[[白炎狐・キュウビ>モンスター図鑑/2113]]	|なし||
|2114|[[古の木獣>モンスター図鑑/2114]]	|&mons149; &mons168; &mons157; &mons248; &mons160;|[[木牛ガヴナン>モンスター図鑑/2115]]|
|2115|[[木牛ガヴナン>モンスター図鑑/2115]]	|なし||
|2116|[[ピアニース>モンスター図鑑/2116]]	|&mons148; &mons172; &mons247; &mons247; &mons251;|[[誘水姫・ピアニース>モンスター図鑑/2117]]|
|2117|[[誘水姫・ピアニース>モンスター図鑑/2117]]	|なし||
|2118|[[鎌士ユカリ>モンスター図鑑/2118]]	|&mons151; &mons170; &mons159; &mons250; &mons160;|[[闇鎌士ユカリ>モンスター図鑑/2119]]|
|2119|[[闇鎌士ユカリ>モンスター図鑑/2119]]	|なし||
|2120|[[アーサー>モンスター図鑑/2120]]	|&mons150; &mons174; &mons249; &mons249; &mons251;|[[聖王アーサー>モンスター図鑑/2121]]|
|2121|[[聖王アーサー>モンスター図鑑/2121]]	|なし||
|2122|[[慟哭の冥闘士・双子座のサガ>モンスター図鑑/2122]]	|なし||
|2123|[[受継ぎし拳・水瓶座の氷河>モンスター図鑑/2123]]	|なし||
|2124|[[アテナの使命・沙織>モンスター図鑑/2124]]	|なし||
|2125|[[黄金聖闘士・シオン>モンスター図鑑/2125]]	|&mons150; &mons151; &mons174; &mons249; &mons251;|[[偽りの冥闘士・牡羊座のシオン>モンスター図鑑/2126]]|
|2126|[[偽りの冥闘士・牡羊座のシオン>モンスター図鑑/2126]]	|なし||
|2127|[[光の機神将・シェロスパーダ>モンスター図鑑/2127]]	|なし||
|2128|[[闇の機神将・ハイスフェルゼン>モンスター図鑑/2128]]	|なし||
|2129|[[無間の破戒神・大天狗>モンスター図鑑/2129]]	|なし||
|2130|[[義憤の天魔龍・ノブナガ>モンスター図鑑/2130]]	|なし||
|2131|[[ロジコマ>モンスター図鑑/2131]]	|&mons147; &mons150; &mons321; &mons155; &mons158;|[[歩兵兵站用輸送支援車両・ロジコマ>モンスター図鑑/2132]]|
|2132|[[歩兵兵站用輸送支援車両・ロジコマ>モンスター図鑑/2132]]	|なし||
|2133|[[バットマン＋ディスラプター>モンスター図鑑/2133]]	|なし||
|2134|[[バットマン＋バットモービル>モンスター図鑑/2134]]	|なし||
|2135|[[ハーレークイン>モンスター図鑑/2135]]	|&mons147; &mons148; &mons171; &mons156; &mons160;|[[最後の悪夢・ハーレークイン>モンスター図鑑/2136]]|
|2136|[[最後の悪夢・ハーレークイン>モンスター図鑑/2136]]	|なし||
|2137|[[スケアクロウ>モンスター図鑑/2137]]	|&mons151; &mons175; &mons250; &mons248; &mons251;|[[スケアクロウ＋フィアーガス>モンスター図鑑/2138]]|
|2138|[[スケアクロウ＋フィアーガス>モンスター図鑑/2138]]	|なし||
|2139|[[アーカムナイト>モンスター図鑑/2139]]	|&mons151; &mons175; &mons250; &mons247; &mons251;|[[私設軍隊・アーカムナイト>モンスター図鑑/2140]]|
|2140|[[私設軍隊・アーカムナイト>モンスター図鑑/2140]]	|なし||
|2141|[[緋龍喚士・ツバキ>モンスター図鑑/2141]]	|&mons147; &mons321; &mons234; &mons227; &mons246;|[[黄昏の緋龍喚士・ツバキ>モンスター図鑑/2142]]|
|2142|[[黄昏の緋龍喚士・ツバキ>モンスター図鑑/2142]]	|なし||
|2143|[[藍龍喚士・スミレ>モンスター図鑑/2143]]	|&mons148; &mons321; &mons234; &mons227; &mons247;|[[朝凪の藍龍喚士・スミレ>モンスター図鑑/2144]]|
|2144|[[朝凪の藍龍喚士・スミレ>モンスター図鑑/2144]]	|なし||
|2145|[[碧龍喚士・カエデ>モンスター図鑑/2145]]	|&mons149; &mons321; &mons234; &mons227; &mons248;|[[金風の碧龍喚士・カエデ>モンスター図鑑/2146]]|
|2146|[[金風の碧龍喚士・カエデ>モンスター図鑑/2146]]	|なし||
|2147|[[日龍喚士・カンナ>モンスター図鑑/2147]]	|&mons150; &mons321; &mons234; &mons227; &mons249;|[[早天の日龍喚士・カンナ>モンスター図鑑/2148]]|
|2148|[[早天の日龍喚士・カンナ>モンスター図鑑/2148]]	|なし||
|2149|[[月龍喚士・サツキ>モンスター図鑑/2149]]	|&mons151; &mons321; &mons234; &mons227; &mons250;|[[禍時の月龍喚士・サツキ>モンスター図鑑/2150]]|
|2150|[[禍時の月龍喚士・サツキ>モンスター図鑑/2150]]	|なし||
|2151|[[精霊龍ライトデュエル・煌牙>モンスター図鑑/2151]]	|なし||
|2152|[[悪魔龍ダークマスターズ・滅角>モンスター図鑑/2152]]	|なし||
|2153|[[コッコ・ルピア>モンスター図鑑/2153]]	|&mons161; &mons155; &mons155;|[[マッハ・ルピア>モンスター図鑑/2154]]|
|2154|[[マッハ・ルピア>モンスター図鑑/2154]]	|なし||
|2155|[[アクア・サーファー>モンスター図鑑/2155]]	|&mons148; &mons162; &mons156;|[[クリスタル・パラディン>モンスター図鑑/2156]]|
|2156|[[クリスタル・パラディン>モンスター図鑑/2156]]	|なし||
|2157|[[シェル・ファクトリーγ>モンスター図鑑/2157]]	|&mons149; &mons163; &mons157;|[[シェル・フォートレス>モンスター図鑑/2158]]|
|2158|[[シェル・フォートレス>モンスター図鑑/2158]]	|なし||
|2159|[[雷光の使徒ミール>モンスター図鑑/2159]]	|&mons164; &mons158; &mons158;|[[聖天使クラウゼ・バルキューラ>モンスター図鑑/2160]]|
|2160|[[聖天使クラウゼ・バルキューラ>モンスター図鑑/2160]]	|なし||
|2161|[[マッド・ギター>モンスター図鑑/2161]]	|&mons151; &mons165; &mons170; &mons159; &mons159;|[[死鬼者デスワルツ>モンスター図鑑/2162]]|
|2162|[[死鬼者デスワルツ>モンスター図鑑/2162]]	|なし||
|2163|[[幻想妖精カチュア>モンスター図鑑/2163]]	|なし||
|2164|[[ボルメテウス・ホワイト・ドラゴン>モンスター図鑑/2164]]	|&mons147; &mons227; &mons246; &mons246; &mons251;|[[ボルメテウス・サファイア・ドラゴン>モンスター図鑑/2165]]|
|2165|[[ボルメテウス・サファイア・ドラゴン>モンスター図鑑/2165]]	|[[究極進化]]||
|2166|[[ボルメテウス・ブラック・ドラゴン>モンスター図鑑/2166]]	|なし||
|2167|[[ボルシャック・ドラゴン>モンスター図鑑/2167]]	|&mons147; &mons166; &mons227; &mons155; &mons160;|[[ボルシャック・大和・ドラゴン>モンスター図鑑/2168]]|
|2168|[[ボルシャック・大和・ドラゴン>モンスター図鑑/2168]]	|なし||
|2169|[[蒼神龍スペル・グレートブルー>モンスター図鑑/2169]]	|&mons148; &mons148; &mons227; &mons156; &mons160;|[[超神星ネプチューン・シュトローム>モンスター図鑑/2170]]|
|2170|[[超神星ネプチューン・シュトローム>モンスター図鑑/2170]]	|なし||
|2171|[[呪紋の化身>モンスター図鑑/2171]]	|&mons149; &mons168; &mons173; &mons157; &mons160;|[[闘匠メサイヤ>モンスター図鑑/2172]]|
|2172|[[闘匠メサイヤ>モンスター図鑑/2172]]	|なし||
|2173|[[浄化の精霊ウルス>モンスター図鑑/2173]]	|&mons150; &mons150; &mons169; &mons158; &mons160;|[[聖霊王アルカディアス>モンスター図鑑/2174]]|
|2174|[[聖霊王アルカディアス>モンスター図鑑/2174]]	|なし||
|2175|[[邪眼皇ロマノフI世>モンスター図鑑/2175]]	|&mons151; &mons151; &mons175; &mons250; &mons251;|[[大邪眼Ｂ・ロマノフ>モンスター図鑑/2176]]|
|2176|[[大邪眼Ｂ・ロマノフ>モンスター図鑑/2176]]	|なし||
|2177|[[ボルメテウスカード>モンスター図鑑/2177]]	|なし||
|2178|[[ロマノフカード>モンスター図鑑/2178]]	|なし||
|2179|[[滅槍の幻術神・オーディン>モンスター図鑑/2179]]	|なし||
|2180|[[平定の黄泉神・イザナミ>モンスター図鑑/2180]]	|なし||
|2181|[[沙悟浄>モンスター図鑑/2181]]	|&mons148; &mons172; &mons247; &mons250; &mons251;|[[流砂の妖仙・沙悟浄>モンスター図鑑/2182]]|
|2182|[[流砂の妖仙・沙悟浄>モンスター図鑑/2182]]	|なし||
|2183|[[猪八戒>モンスター図鑑/2183]]	|&mons147; &mons171; &mons246; &mons249; &mons251;|[[大食の妖仙・猪八戒>モンスター図鑑/2184]]|
|2184|[[大食の妖仙・猪八戒>モンスター図鑑/2184]]	|なし||
|2185|[[暴炎機導龍・トゥバン>モンスター図鑑/2185]]	|なし||
|2186|[[深海機導龍・サダルメリク>モンスター図鑑/2186]]	|なし||
|2187|[[烈風機導龍・アルナイル>モンスター図鑑/2187]]	|なし||
|2188|[[天雷機導龍・シェザル>モンスター図鑑/2188]]	|なし||
|2189|[[刻滅機導龍・ディアデム>モンスター図鑑/2189]]	|なし||
|2190|[[灼翼機導獣・マルカブ>モンスター図鑑/2190]]	|なし||
|2191|[[氷牙機導獣・アルフェッカ>モンスター図鑑/2191]]	|なし||
|2192|[[風翼機導獣・ファクト>モンスター図鑑/2192]]	|なし||
|2193|[[閃爪機導獣・レオニス>モンスター図鑑/2193]]	|なし||
|2194|[[冥眼機導獣・カッカブ>モンスター図鑑/2194]]	|なし||
|2195|[[フレイムギア>モンスター図鑑/2195]]	|なし||
|2196|[[アクアギア>モンスター図鑑/2196]]	|なし||
|2197|[[ウィンドギア>モンスター図鑑/2197]]	|なし||
|2198|[[サンダーギア>モンスター図鑑/2198]]	|なし||
|2199|[[ダークギア>モンスター図鑑/2199]]	|なし||
|2200|[[カチュアカード>モンスター図鑑/2200]]	|なし||
|2201&aname(no2201);|[[ボルメテウスカード>モンスター図鑑/2201]]	|なし||
|2202|[[グレートブルーカード>モンスター図鑑/2202]]	|なし||
|2203|[[呪紋の化身カード>モンスター図鑑/2203]]	|なし||
|2204|[[ウルスカード>モンスター図鑑/2204]]	|なし||
|2205|[[灼冥魔・スカーレット>モンスター図鑑/2205]]	|[[究極進化]]||
|2206|[[闊達の灼冥魔・スカーレット>モンスター図鑑/2206]]	|なし||
|2207|[[潜在たまドラ☆HP強化>モンスター図鑑/2207]]	|なし||
|2208|[[潜在たまドラ☆攻撃強化>モンスター図鑑/2208]]	|なし||
|2209|[[潜在たまドラ☆回復強化>モンスター図鑑/2209]]	|なし||
|2210|[[潜在たまドラ☆自動回復>モンスター図鑑/2210]]	|なし||
|2211|[[潜在たまドラ☆操作時間延長>モンスター図鑑/2211]]	|なし||
|2212|[[潜在たまドラ☆火ダメージ軽減>モンスター図鑑/2212]]	|なし||
|2213|[[潜在たまドラ☆水ダメージ軽減>モンスター図鑑/2213]]	|なし||
|2214|[[潜在たまドラ☆木ダメージ軽減>モンスター図鑑/2214]]	|なし||
|2215|[[潜在たまドラ☆光ダメージ軽減>モンスター図鑑/2215]]	|なし||
|2216|[[潜在たまドラ☆闇ダメージ軽減>モンスター図鑑/2216]]	|なし||
|2217|[[スーパー超覚醒ゼウス>モンスター図鑑/2217]]	|なし||
|2218|[[光槍の聖ボット・ヘラクオーディン>モンスター図鑑/2218]]	|なし||
|2219|[[極光太陽神・シャーマンラーン>モンスター図鑑/2219]]	|なし||
|2220|[[暗黒覚醒ブラック・ディオス>モンスター図鑑/2220]]	|なし||
