* リーダースキル [#e57a0767]

- リーダーと助っ人のモンスターのみ効果を発動する。
|&font2(80%){やみのぼうへき};闇の防壁			|>|BGCOLOR(#bba6f1):闇|闇属性の敵から受けるダメージが0.5倍。|ハーデス&br;冥界神・ハーデス&br;カオスデビルドラゴン&br;ゴーストリング&br;邪龍・ヘルヘイム&br;究極邪龍・ヘルヘイム|&aname(ls0130,full,super){ls0130};|
|&font2(80%){ひときのまもり};火と木の守り		|BGCOLOR(#f1bba6):火|BGCOLOR(#bbf1a6):木|火、木属性の敵から受けるダメージが0.7倍。|ドラール&br;アグドラール|&aname(ls0288,full,super){ls0288};|
|&font2(80%){えんじゅのぼうへき};炎樹の防壁		|BGCOLOR(#f1bba6):火|BGCOLOR(#bbf1a6):木|火、木属性の敵から受けるダメージが0.5倍。|フレアドラール&br;灼爪龍・フレアドラール|&aname(ls0290,full,super){ls0290};|
|&font2(80%){みずとひのまもり};水と火の守り		|BGCOLOR(#a6f1f1):水|BGCOLOR(#f1bba6):火|水、火属性の敵から受けるダメージが0.7倍。|シャードラ&br;シャードラン|&aname(ls0291,full,super){ls0291};|
|&font2(80%){ひょうえんのぼうへき};氷炎の防壁		|BGCOLOR(#a6f1f1):水|BGCOLOR(#f1bba6):火|水、火属性の敵から受けるダメージが0.5倍。|メガロドラン&br;穿鮫龍・メガロドラン|&aname(ls0293,full,super){ls0293};|
|&font2(80%){きとみずのまもり};木と水の守り		|BGCOLOR(#bbf1a6):木|BGCOLOR(#a6f1f1):水|木、水属性の敵から受けるダメージが0.7倍。|トイトプス&br;トイケラトプス|&aname(ls0294,full,super){ls0294};|
|&font2(80%){じゅひょうのぼうへき};樹氷の防壁		|BGCOLOR(#bbf1a6):木|BGCOLOR(#a6f1f1):水|木、水属性の敵から受けるダメージが0.5倍。|フォートトイトプス&br;角砦龍・フォートトイトプス&br;蒼石龍・ミスリル|&aname(ls0296,full,super){ls0296};|
|&font2(80%){ひかりときのまもり};光と木の守り		|BGCOLOR(#f1f1a6):光|BGCOLOR(#bbf1a6):木|光、木属性の敵から受けるダメージが0.7倍。|フェリオ&br;フェアリオン|&aname(ls0297,full,super){ls0297};|
|&font2(80%){せいじゅのぼうへき};聖樹の防壁		|BGCOLOR(#f1f1a6):光|BGCOLOR(#bbf1a6):木|光、木属性の敵から受けるダメージが0.5倍。|エンジェリオン&br;聖獣龍・エンジェリオン&br;トルネードホーリードラゴン|&aname(ls0299,full,super){ls0299};|
|&font2(80%){やみとみずのまもり};闇と水の守り		|BGCOLOR(#bba6f1):闇|BGCOLOR(#a6f1f1):水|闇、水属性の敵から受けるダメージが0.7倍。|ピエドラ&br;ピエドラウン|&aname(ls0300,full,super){ls0300};|
|&font2(80%){まひょうのぼうへき};魔氷の防壁		|BGCOLOR(#bba6f1):闇|BGCOLOR(#a6f1f1):水|闇、水属性の敵から受けるダメージが0.5倍。|ドラウンジョーカー&br;道化龍・ドラウンジョーカー|&aname(ls0302,full,super){ls0302};|
|&font2(80%){ようこうのぼうへき};陽光の防壁		|BGCOLOR(#f1bba6):火|BGCOLOR(#f1f1a6):光|火、光属性の敵から受けるダメージが0.5倍。|緋石龍・ヒヒイロカネ|&aname(ls0737,full,super){ls0737};|
|&font2(80%){じゃえんのぼうへき};邪炎の防壁		|BGCOLOR(#f1bba6):火|BGCOLOR(#bba6f1):闇|火、闇属性の敵から受けるダメージが0.5倍。|紫石龍・ダマスカス|&aname(ls0741,full,super){ls0741};|
|&font2(80%){せいかいのぼうへき};聖海の防壁		|BGCOLOR(#a6f1f1):水|BGCOLOR(#f1f1a6):光|水、光属性の敵から受けるダメージが0.5倍。|虹石龍・オリハルコン|&aname(ls0740,full,super){ls0740};|
|&font2(80%){じゅかのぼうへき};呪花の防壁		|BGCOLOR(#bbf1a6):木|BGCOLOR(#bba6f1):闇|木、闇属性の敵から受けるダメージが0.5倍。|翠石龍・アダマント&br;サイクロンデビルドラゴン|&aname(ls0739,full,super){ls0739};|
|&font2(80%){ひたいせいきょうか＜ちゅう＞};火耐性強化＜中＞		|>|BGCOLOR(#f1bba6):火|火属性の敵から受けるダメージが0.5倍。|フロギィネコ|&aname(ls0856,full,super){ls0856};|
|&font2(80%){ひたいせいきょうか＜だい＞};火耐性強化＜大＞		|>|BGCOLOR(#f1bba6):火|火属性の敵から受けるダメージが0.45倍。|ドスフロギィ＆フロギィネコ|&aname(ls0857,full,super){ls0857};|
|&font2(80%){みずたいせいきょうか＜ちゅう＞};水耐性強化＜中＞		|>|BGCOLOR(#a6f1f1):水|水属性の敵から受けるダメージが0.5倍。|バギィネコ|&aname(ls0858,full,super){ls0858};|
|&font2(80%){みずたいせいきょうか＜だい＞};水耐性強化＜大＞		|>|BGCOLOR(#a6f1f1):水|水属性の敵から受けるダメージが0.45倍。|ドスバギィ＆バギィネコ|&aname(ls0859,full,super){ls0859};|
|&font2(80%){きたいせいきょうか＜ちゅう＞};木耐性強化＜中＞		|>|BGCOLOR(#bbf1a6):木|木属性の敵から受けるダメージが0.5倍。|ファンゴネコ|&aname(ls0862,full,super){ls0862};|
|&font2(80%){きたいせいきょうか＜だい＞};木耐性強化＜大＞		|>|BGCOLOR(#bbf1a6):木|木属性の敵から受けるダメージが0.45倍。|ドスファンゴ＆ファンゴネコ|&aname(ls0863,full,super){ls0863};|
|&font2(80%){ひかりたいせいきょうか＜ちゅう＞};光耐性強化＜中＞		|>|BGCOLOR(#f1f1a6):光|光属性の敵から受けるダメージが0.5倍。|リノプロネコ|&aname(ls0864,full,super){ls0864};|
|&font2(80%){ひかりたいせいきょうか＜だい＞};光耐性強化＜大＞		|>|BGCOLOR(#f1f1a6):光|光属性の敵から受けるダメージが0.45倍。|リノプロス＆リノプロネコ|&aname(ls0865,full,super){ls0865};|
|&font2(80%){やみたいせいきょうか＜ちゅう＞};闇耐性強化＜中＞		|>|BGCOLOR(#bba6f1):闇|闇属性の敵から受けるダメージが0.5倍。|ジャギィネコ|&aname(ls0854,full,super){ls0854};|
|&font2(80%){やみたいせいきょうか＜だい＞};闇耐性強化＜大＞		|>|BGCOLOR(#bba6f1):闇|闇属性の敵から受けるダメージが0.45倍。|ドスジャギィ＆ジャギィネコ|&aname(ls0855,full,super){ls0855};|
|&font2(80%){だめーじがーど・みず};ダメージガード・水		|>|BGCOLOR(#f1bba6):火|火属性の敵から受けるダメージが0.5倍。|ブルーシードラ|&aname(ls1539,full,super){ls1539};|
|&font2(80%){だめーじがーど・き};ダメージガード・木		|>|BGCOLOR(#a6f1f1):水|水属性の敵から受けるダメージが0.5倍。|グリーンシードラ|&aname(ls1541,full,super){ls1541};|
|&font2(80%){だめーじがーど・ひ};ダメージガード・火		|>|BGCOLOR(#bbf1a6):木|木属性の敵から受けるダメージが0.5倍。|レッドシードラ|&aname(ls1537,full,super){ls1537};|
|&font2(80%){だめーじがーど・やみ};ダメージガード・闇		|>|BGCOLOR(#f1f1a6):光|光属性の敵から受けるダメージが0.5倍。|パープルシードラ|&aname(ls1545,full,super){ls1545};|
|&font2(80%){だめーじがーど・ひかり};ダメージガード・光		|>|BGCOLOR(#bba6f1):闇|闇属性の敵から受けるダメージが0.5倍。|イエローシードラ|&aname(ls1543,full,super){ls1543};|
|ベリーベリーストロベリー	|>|BGCOLOR(#f1bba6):火|火属性の敵から受けるダメージが0.5倍。|サーティワン・ルビリット&br;サーティワン・ダブルビリット|&aname(ls0936,full,super){ls0936};|
|ポッピングシャワー		|>|BGCOLOR(#a6f1f1):水|水属性の敵から受けるダメージが0.5倍。|サーティワン・サファリット&br;サーティワン・ダブサファリット|&aname(ls0938,full,super){ls0938};|
|&font2(80%){まっちゃ};抹茶			|>|BGCOLOR(#bbf1a6):木|木属性の敵から受けるダメージが0.5倍。|サーティワン・エメリット &br;サーティワン・ダブエメリット|&aname(ls0940,full,super){ls0940};|
|パイナップルナッツ		|>|BGCOLOR(#f1f1a6):光|光属性の敵から受けるダメージが0.5倍。|サーティワン・トパリット&br;サーティワン・ダブトパリット|&aname(ls0942,full,super){ls0942};|
|チョップドチョコレート	|>|BGCOLOR(#bba6f1):闇|闇属性の敵から受けるダメージが0.5倍。|サーティワン・アメリット&br;サーティワン・ダブアメリット|&aname(ls0944,full,super){ls0944};|
|&font2(80%){きゅうびこのかまえ};九尾狐の構え		|>|BGCOLOR(#f1bba6):火|火属性の敵から受けるダメージが0.7倍。|キュウビ|&aname(ls2122,full,super){ls2112};|
|&font2(80%){きゅうびこのまもり};九尾狐の守り		|>|BGCOLOR(#f1bba6):火|火属性の敵から受けるダメージが0.5倍。|白炎狐・キュウビ|&aname(ls2123,full,super){ls2113};|
|&font2(80%){ぼうかせい};防火性			|>|BGCOLOR(#f1bba6):火|火属性の敵から受けるダメージが0.5倍。|ファイヤーフライ &br;ファイヤーフライ＋火炎放射|&aname(ls1049,full,super){ls1049};|
|&font2(80%){きゅうきょくあんこくしんへのやぼう};究極暗黒神への野望		|>|BGCOLOR(#f1f1a6):光|光属性の敵から受けるダメージが0.5倍。|スーパーハーデス&br;スーパー冥界ハーデス|&aname(ls1479,full,super){ls1479};|
|&font2(80%){いまのはさいこうのひかりだった…};いまのは最高の光だった…	|>|BGCOLOR(#f1f1a6):光|光属性の敵から受けるダメージが0.5倍。|ヤコン&br;宇宙の魔獣・ヤコン|&aname(ls1573,full,super){ls1573};|
|ショックシールド		|>|BGCOLOR(#f1f1a6):光|光属性の敵から受けるダメージが0.5倍。|ABE・マジシャン・チャック&br;ABE・ウィザード・チャック|&aname(ls1636,full,super){ls1636};|
|&font2(80%){みんなをまもるにゃ！＜やみ＞};みんなを守るニャ！＜闇＞	|>|BGCOLOR(#bba6f1):闇|闇属性の敵から受けるダメージが0.5倍。|キンメタネコ&br;キングメタドラ＆キンメタネコ|&aname(ls0876,full,super){ls0876};|
|デイビルフィールド		|>|BGCOLOR(#bba6f1):闇|闇属性の敵から受けるダメージが0.5倍。|デイビルアイ|&aname(ls0511,full,super){ls0511};|
|&font2(80%){れっつぱーてぃ！！};Let's Party！！		|>|BGCOLOR(#bba6f1):闇|闇属性の敵から受けるダメージが0.5倍。|アップルドラウン&br;ハローキティワールド★ジョーカー|&aname(ls1148,full,super){ls1148};|
|&font2(80%){えんじょい! ふぇすた☆};Enjoy! Fiesta☆		|>|BGCOLOR(#bba6f1):闇|闇属性の敵から受けるダメージが0.3倍。|キティズフェスタ★ジョーカー|&aname(ls2052,full,super){ls2085};|
|&font2(80%){まもりのこころえ};守りの心得		|>||受けるダメージが0.9倍。|フレイムゴーレム&br;フレイムガーディアン&br;アイスゴーレム&br;アイスガーディアン&br;アースゴーレム&br;アースガーディアン&br;マシンゴーレム&br;マシンゴーレムMk-II&br;ダークゴーレム&br;ダークゴーレムMk-II&br;炎の番人&br;水の番人&br;森の番人&br;光の番人&br;闇の番人&br;虹の番人|&aname(ls0078,full,super){ls0078};|
|&font2(80%){てっぺきのこころえ};鉄壁の心得		|>||受けるダメージが0.8倍。|スサノオ&br;スサノオノミコト&br;黄金の番人|&aname(ls0136,full,super){ls0136};|
|&font2(80%){てっぺきのしんねん};鉄壁の神念		|>||受けるダメージが0.75倍。|護封嵐神・スサノオノミコト|&aname(ls0987,full,super){ls0987};|
|チョコバリア		|>||受けるダメージが0.9倍。|チョコボ&br;赤チョコボ＆チョコボ士&br;青チョコボ＆チョコボ士&br;緑チョコボ＆チョコボ士|&aname(ls0446,full,super){ls0446};|
|&font2(80%){えーてぃーふぃーるど};A.T.フィールド		|>||受けるダメージが0.9倍。|第4の使徒&br;第4の使徒・戦闘形態&br;第5の使徒&br;第5の使徒・戦闘形態&br;第6の使徒&br;第6の使徒・戦闘形態|&aname(ls0707,full,super){ls0707};|
|&font2(80%){たそうえーてぃーふぃーるど};多層A.T.フィールド	|>||受けるダメージが0.8倍。|第10の使徒&br;第10の使徒・戦闘形態|&aname(ls0711,full,super){ls0711};|
|レックスアーマー		|>||受けるダメージが0.8倍。|レックスルーサー&br;悪の天才・レックスルーサー|&aname(ls1693,full,super){ls1693};|
|&font2(80%){まんねんがめのこうら};万年亀の甲羅		|>||受けるダメージが0.8倍。|時の伝道師・クロノタートル|&aname(ls0489,full,super){ls0489};|
|&font2(80%){だんりょくぼでぃ};弾力ボディ		|>||受けるダメージが0.8倍。|セイウチさん|&aname(ls0505,full,super){ls0505};|
|&font2(80%){ぶんしんのじゅつ};分身の術			|>||受けるダメージが0.8倍。|蒼翼忍者・鵜飼孫六|&aname(ls0665,full,super){ls0665};|
|&font2(80%){ゆうこうのあくしゅ};友好の握手		|>||受けるダメージが0.8倍。|ボックル|&aname(ls0676,full,super){ls0676};|
|&font2(80%){こうこつのしんぴ};光骨の神秘		|>||受けるダメージが0.75倍。|神秘の結晶龍・クリスタルスカル|&aname(ls0785,full,super){ls0785};|
|&font2(80%){れいげんのしんぴ};霊言の神秘		|>||HP50％以下で、受けるダメージが0.5倍。|五晶の神秘龍・コトダマ|&aname(ls1459,full,super){ls1459};|
|ダンプティーエール		|>||HP満タン時、受けるダメージが0.8倍。|ECO・ダンプティー&br;ECO・ダンプティー・アルマ|&aname(ls0667,full,super){ls0667};|
|スーパーアーマー		|>||HP満タン時、受けるダメージが0.5倍。|炎騎士アレイオーン|&aname(ls1523,full,super){ls1523};|
|まもりのころも		|>||HP満タン時、受けるダメージが0.5倍。|覚醒オーディンたまドラ|&aname(ls1228,full,super){ls1228};|
|&font2(80%){まもりのけんりん};守りの剣鱗		|>||HP満タン時、受けるダメージが0.35倍。|ディアゴルドス&br;重装剣龍・ディアゴルドス|&aname(ls1878,full,super){ls1878};|
|&font2(80%){あんばんのしんぴ};闇盤の神秘		|>||HP満タン時、受けるダメージが0.25倍。|神秘の円盤龍・ネブラディスク|&aname(ls0786,full,super){ls0786};|
|オーディンハット		|>||HP満タン時、受けるダメージが0.25倍。|覚醒オーディンネコ&br;覚醒オーディン＆オーディンネコ|&aname(ls0880,full,super){ls0880};|
|&font2(80%){まもりのころも};守りの衣			|>||HP満タン時、受けるダメージが0.2倍。|オーディン&br;覚醒オーディン&br;光槍の魔術神・オーディン|&aname(ls0362,full,super){ls0362};|
|>|>|>|>|>|BGCOLOR(#ffffff):【回復系】&aname(recovery);|
||CENTER:|CENTER:||||c
|&font2(80%){いやしのいのり};癒しの祈り		|>||ドロップを消した時、 回復力の半分のHPを回復。|ドリヤード&br;アルラウネ&br;マーズライトカーバンクル&br;マーキュライトカーバンクル&br;アースライトカーバンクル&br;サンライトカーバンクル&br;ムーンライトカーバンクル|&aname(ls0092,full,super){ls0092};|
|&font2(80%){いやしのうた};癒しの唄			|>||ドロップを消した時、回復力分のHPを回復。|マーメイド&br;セイレーン&br;キューピッド&br;エンジェル&br;アマテラス&br;CoC・ヒーラー&br;CoC・グロリアスヒーラー|&aname(ls0090,full,super){ls0090};|
|&font2(80%){いやしのまい};癒しの舞			|>||ドロップを消した時、回復力×3倍のHPを回復。|大海の歌姫・セイレーン&br;大樹の精霊・アルラウネ&br;天空の使徒・エンジェル|&aname(ls0202,full,super){ls0202};|
